2.591146244 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.591682004 10.0.0.2:43266 10.0.0.4:5001 32 0x7855d3eb 0x7853f323 86 2147483647 170496 381014 29696
2.598784377 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 170496
2.599338471 10.0.0.2:43266 10.0.0.4:5001 32 0x7855ea8b 0x7853fe73 88 2147483647 170496 375952 29696
2.606474835 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 176640
2.607020827 10.0.0.2:43266 10.0.0.4:5001 32 0x7856012b 0x785409c3 90 2147483647 170496 371546 29696
2.614581726 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 182272
2.614738057 10.0.0.2:43266 10.0.0.4:5001 32 0x785617cb 0x78541513 92 2147483647 170496 368651 29696
2.622399815 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 205312
2.622523564 10.0.0.2:43266 10.0.0.4:5001 32 0x78562e6b 0x78542063 94 2147483647 170496 366125 29696
2.629557729 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 210944
2.630107417 10.0.0.2:43266 10.0.0.4:5001 32 0x7856450b 0x78542bb3 96 2147483647 170496 364887 29696
2.637236818 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 217088
2.637792541 10.0.0.2:43266 10.0.0.4:5001 32 0x78565bab 0x78543703 98 2147483647 170496 363717 29696
2.644947812 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 222720
2.645501164 10.0.0.2:43266 10.0.0.4:5001 32 0x7856724b 0x78544253 100 2147483647 170496 363120 29696
2.652687576 10.0.0.4:5001 10.0.0.2:43266 1480 0xf378028a 0xf378028a 10 2147483647 29696 324000 228352
2.653240809 10.0.0.2:43266 10.0.0.4:5001 32 0x785688eb 0x78544da3 102 2147483647 170496 363562 29696
2.656595937 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 231424
2.660869379 10.0.0.2:43266 10.0.0.4:5001 32 0x78569f8b 0x785458f3 104 2147483647 176640 364043 29696
2.664387276 10.0.0.4:5001 10.0.0.2:43266 1480 0xf378028a 0xf378028a 10 2147483647 29696 324000 237056
2.668001730 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 240128
2.668547472 10.0.0.2:43266 10.0.0.4:5001 32 0x7856b62b 0x78546443 106 2147483647 182272 365418 29696
2.675725188 10.0.0.4:5001 10.0.0.2:43266 2928 0xf378028a 0xf378028a 10 2147483647 29696 324000 245760
2.676242703 10.0.0.2:43266 10.0.0.4:5001 32 0x7856d273 0x78546f93 108 2147483647 187904 366499 29696
2.683397004 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 187904
2.683952630 10.0.0.2:43266 10.0.0.4:5001 32 0x7856e913 0x78547ae3 110 2147483647 194048 368405 29696
2.691065226 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 194048
2.691630591 10.0.0.2:43266 10.0.0.4:5001 32 0x7856ffb3 0x78548633 112 2147483647 199680 370224 29696
2.698766728 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 199680
2.699347775 10.0.0.1:43556 10.0.0.3:5001 32 0xcb98531e 0xcb968e9e 80 2147483647 170496 442548 29696
2.706950758 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 205312
2.707021049 10.0.0.1:43556 10.0.0.3:5001 32 0xcb9869be 0xcb9699ee 82 2147483647 170496 436011 29696
2.714130327 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 210944
2.715173355 10.0.0.1:43556 10.0.0.3:5001 32 0xcb98805e 0xcb96a53e 84 2147483647 170496 431249 29696
2.721958750 10.0.0.3:5001 10.0.0.1:43556 2928 0x49a8d0a1 0x49a8d0a1 10 2147483647 29696 340000 217088
2.722374777 10.0.0.1:43556 10.0.0.3:5001 32 0xcb989156 0xcb96b08e 86 2147483647 170496 427172 29696
