1.584888061 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.585196148 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b2cb50 0xa7b17d98 59 2147483647 168448 245013 29696
1.592582944 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.592879266 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b2e1f0 0xa7b188e8 61 2147483647 170496 249182 29696
1.600239448 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.600541012 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b2f890 0xa7b19438 63 2147483647 170496 252824 29696
1.608189326 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.608309589 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b30f30 0xa7b19f88 65 2147483647 170496 256968 29696
1.616032847 10.0.0.1:45448 10.0.0.3:5001 32 0xa7b325d0 0xa7b1aad8 67 2147483647 170496 260603 29696
1.616073231 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
1.623322714 10.0.0.4:5001 10.0.0.2:45158 2928 0xb8de18cb 0xb8de18cb 10 2147483647 29696 168000 170496
