1.503740561 10.0.0.1:40720 10.0.0.3:5001 32 0xd692e07 0xd67be5f 65 2147483647 170496 205462 29696
1.506088431 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.509809071 10.0.0.1:40720 10.0.0.3:5001 32 0xd6944a7 0xd67c9af 67 2147483647 170496 211730 29696
1.513921418 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.517502597 10.0.0.1:40720 10.0.0.3:5001 32 0xd695b47 0xd67d4ff 69 2147483647 170496 217973 29696
1.521352119 10.0.0.4:5001 10.0.0.2:40434 2928 0x5f5c9480 0x5f5c9480 10 2147483647 29696 172000 170496
1.525637355 10.0.0.1:40720 10.0.0.3:5001 32 0xd6971e7 0xd67e04f 71 2147483647 170496 223417 29696
1.529510973 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.533508587 10.0.0.2:40434 10.0.0.4:5001 32 0x638dc5ae 0x638c5606 65 2147483647 170496 226575 29696
1.536409304 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.541176102 10.0.0.2:40434 10.0.0.4:5001 32 0x638ddc4e 0x638c6156 67 2147483647 170496 231930 29696
1.544215405 10.0.0.3:5001 10.0.0.1:40720 1480 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.547948226 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.548239365 10.0.0.2:40434 10.0.0.4:5001 32 0x638df2ee 0x638c6ca6 69 2147483647 170496 237573 29696
1.556446800 10.0.0.2:40434 10.0.0.4:5001 32 0x638e098e 0x638c77f6 71 2147483647 170496 242457 29696
1.556483597 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.563667269 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.563766506 10.0.0.1:40720 10.0.0.3:5001 32 0xd698887 0xd67eb9f 73 2147483647 170496 229196 29696
1.571438670 10.0.0.1:40720 10.0.0.3:5001 32 0xd699f27 0xd67f6ef 75 2147483647 170496 236185 29696
1.571479061 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.579310216 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.579405231 10.0.0.1:40720 10.0.0.3:5001 32 0xd69b5c7 0xd68023f 77 2147483647 170496 243258 29696
1.587067151 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.587185686 10.0.0.2:40434 10.0.0.4:5001 32 0x638e202e 0x638c8346 73 2147483647 170496 247756 29696
1.595854966 10.0.0.2:40434 10.0.0.4:5001 32 0x638e36ce 0x638c8e96 75 2147483647 170496 253763 29696
1.595885611 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.601793012 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.602392384 10.0.0.2:40434 10.0.0.4:5001 32 0x638e4d6e 0x638c99e6 77 2147483647 170496 260102 29696
1.610528895 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.610617280 10.0.0.1:40720 10.0.0.3:5001 32 0xd69cc67 0xd680d8f 79 2147483647 170496 249458 29696
1.617368484 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.617483539 10.0.0.1:40720 10.0.0.3:5001 32 0xd69e307 0xd6818df 81 2147483647 170496 255260 29696
1.625235537 10.0.0.3:5001 10.0.0.1:40720 2928 0x64c1ef51 0x64c1ef51 10 2147483647 29696 164000 170496
1.625339799 10.0.0.1:40720 10.0.0.3:5001 32 0xd69f9a7 0xd68242f 83 2147483647 170496 261195 29696
