1.087663568 10.0.0.2:40468 10.0.0.4:5001 32 0x571e1e67 0x571cc55f 62 56 289280 221564 29696
1.089663686 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 306688
1.094532570 10.0.0.2:40468 10.0.0.4:5001 32 0x571e29b7 0x571cd0af 62 56 294912 221904 29696
1.097902314 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 312320
1.101565927 10.0.0.2:40468 10.0.0.4:5001 32 0x571e3507 0x571cdbff 62 56 301056 221987 29696
1.104782422 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 318464
1.111134911 10.0.0.2:40468 10.0.0.4:5001 32 0x571e4057 0x571ce74f 62 56 306688 222004 29696
1.111474482 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 324096
1.119532888 10.0.0.2:40468 10.0.0.4:5001 32 0x571e4ba7 0x571cf29f 62 56 312320 222315 29696
1.120638852 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 329728
1.125849215 10.0.0.2:40468 10.0.0.4:5001 32 0x571e56f7 0x571cfdef 62 56 318464 222658 29696
1.127299378 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 335872
1.132582967 10.0.0.2:40468 10.0.0.4:5001 32 0x571e6d97 0x571d093f 63 56 324096 223748 29696
1.134529659 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 341504
1.141691938 10.0.0.2:40468 10.0.0.4:5001 32 0x571e78e7 0x571d148f 63 56 329728 224560 29696
1.142239296 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 347136
1.148796370 10.0.0.2:40468 10.0.0.4:5001 32 0x571e8437 0x571d1fdf 63 56 335872 225362 29696
1.150198126 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 353280
1.155637930 10.0.0.2:40468 10.0.0.4:5001 32 0x571e8f87 0x571d2b2f 63 56 341504 225565 29696
1.158598398 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 358912
1.163324595 10.0.0.2:40468 10.0.0.4:5001 32 0x571e9ad7 0x571d367f 63 56 347136 225624 29696
1.165421094 10.0.0.4:5001 10.0.0.2:40468 2928 0x61752024 0x61752024 10 2147483647 29696 48000 359424
